Reactant Fraction for CO C1 Inlet1 PFR (C1)_(mole_fraction),Reactant Fraction for N2 C1 Inlet1 PFR (C1)_(mole_fraction),Temperature C1 PFR PFR (C1)_(C),Reactant Fraction for CO2 C1 Inlet1 PFR (C1)_(mole_fraction),Reactant Fraction for CH4 C1 Inlet1 PFR (C1)_(mole_fraction),Reactant Fraction for H2 C1 Inlet1 PFR (C1)_(mole_fraction),Mole fraction NH3 end point,Mole fraction CO2 end point,Mole fraction NO end point,Mole fraction CO end point,Mole fraction CH4 end point,Mole fraction H2 end point,Mole fraction NO2 end point,Mole fraction N2O end point
0.000576,0.788653,1125,0.150027,9.00E-07,0.000243,1.49E-17,0.150653,0.000364836,1.20E-06,-2.13E-20,1.63E-09,1.42E-06,2.99E-08
0,0.7895,1150,0.15,0,0,-1.02E-15,0.1499874,0.000191754,1.25E-06,0,1.34E-09,6.94E-07,2.93E-08
6.90E-05,0.789204,1150,0.150093,3.15E-05,0.000102,4.54E-15,0.1501937,0.00026975,1.28E-06,-4.10E-22,1.86E-09,9.65E-07,2.93E-08
0.000207,0.788614,1150,0.150279,9.45E-05,0.000306,1.68E-15,0.1506065,0.000365917,1.15E-06,7.20E-26,2.86E-09,1.26E-06,2.83E-08
0,0.7895,1150,0.15,0,0,-1.02E-15,0.1499874,0.000191754,1.25E-06,0,1.34E-09,6.94E-07,2.93E-08
0.000192,0.789218,1150,0.150009,3.00E-07,8.10E-05,2.87E-16,0.1502089,0.000272778,1.42E-06,-1.83E-19,1.66E-09,9.85E-07,3.00E-08
0.000576,0.788653,1150,0.150027,9.00E-07,0.000243,9.45E-18,0.1506529,0.000372964,1.30E-06,-4.05E-20,2.18E-09,1.30E-06,2.90E-08
0,0.7895,1175,0.15,0,0,7.51E-18,0.1499869,0.000216446,1.60E-06,0,1.83E-09,7.08E-07,3.09E-08
6.90E-05,0.789204,1175,0.150093,3.15E-05,0.000102,1.25E-15,0.1501933,0.000287841,1.61E-06,-1.32E-19,2.54E-09,9.30E-07,3.10E-08
0.000207,0.788614,1175,0.150279,9.45E-05,0.000306,3.00E-16,0.150606,0.000375148,1.58E-06,-7.39E-21,4.00E-09,1.18E-06,3.08E-08
0,0.7895,1175,0.15,0,0,7.51E-18,0.1499869,0.000216446,1.60E-06,0,1.83E-09,7.08E-07,3.09E-08
0.000192,0.789218,1175,0.150009,3.00E-07,8.10E-05,-2.56E-13,0.1502086,0.000289494,1.70E-06,-2.53E-19,2.24E-09,9.41E-07,3.15E-08
0.000576,0.788653,1175,0.150027,9.00E-07,0.000243,1.22E-17,0.1506524,0.000380021,1.67E-06,2.28E-20,3.00E-09,1.20E-06,3.13E-08
0,0.7895,1200,0.15,0,0,2.03E-17,0.1499863,0.000239877,2.18E-06,0,2.53E-09,7.16E-07,3.38E-08
6.90E-05,0.789204,1200,0.150093,3.15E-05,0.000102,5.13E-16,0.1501927,0.000304236,2.21E-06,-1.27E-19,3.52E-09,8.99E-07,3.39E-08
0.000207,0.788614,1200,0.150279,9.45E-05,0.000306,6.27E-17,0.1506052,0.000383123,2.26E-06,-3.65E-22,5.62E-09,1.11E-06,3.41E-08
0,0.7895,1200,0.15,0,0,2.03E-17,0.1499863,0.000239877,2.18E-06,0,2.53E-09,7.16E-07,3.38E-08
0.000192,0.789218,1200,0.150009,3.00E-07,8.10E-05,-1.53E-14,0.1502079,0.000304817,2.26E-06,-2.21E-19,3.07E-09,9.03E-07,3.42E-08
0.000576,0.788653,1200,0.150027,9.00E-07,0.000243,1.87E-17,0.1506517,0.000386242,2.32E-06,2.62E-23,4.17E-09,1.12E-06,3.44E-08
0,0.7895,1225,0.15,0,0,1.84E-17,0.1499853,0.000261738,3.07E-06,0,3.50E-09,7.18E-07,3.73E-08
6.90E-05,0.789204,1225,0.150093,3.15E-05,0.000102,5.59E-17,0.1501916,0.000319082,3.13E-06,7.74E-22,4.88E-09,8.68E-07,3.75E-08
